港澳频道,#genre#
星河 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
千禧经典 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
TVB翡翠,http://iptv.4666888.xyz/iptv2A.php?id=34
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
千禧经典,http://iptv.4666888.xyz/iptv2A.php?id=22
八度空间,http://iptv.4666888.xyz/iptv2A.php?id=52
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
MYTV黃金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
TVB翡翠劇集,http://iptv.4666888.xyz/iptv2A.php?id=33
翡翠台,http://74.91.26.218:82/live/jade.m3u8
TVB星河,http://74.91.26.218:82/live/tvbxh.m3u8
TVB千禧经典台,http://74.91.26.218:82/live/tvbjd.m3u8
无线新闻台,http://74.91.26.218:82/live/inews.m3u8
TVB Plus,http://74.91.26.218:82/live/j2.m3u8
NOW星影台,http://74.91.26.218:82/live/nowxy.m3u8
NOW爆谷台,http://74.91.26.218:82/live/nowbg.m3u8
美亚电影台,http://74.91.26.218:82/live/mydy.m3u8
天映频道,http://74.91.26.218:82/live/typd.m3u8
天映经典,http://74.91.26.218:82/live/tyjd.m3u8
广东大湾区卫视1080p,http://rihou.cc:555/tv/[AtI]广东湾区
TVB星河720p,http://cdn10.163189.xyz/163189/xinghe
TVB星河720p,https://cdn6.101.qzz.io/163189/tvbxh
TVB星河720p,http://rihou.cc:555/tv/[Pd]无线星河
TVB星河720p,http://rihou.cc:555/tv/[PL]无线星河
TVB星河720p,http://r.jdshipin.com/Voac4
TVB无线千禧1080p,http://rihou.cc:555/tv/[Bx]无线千禧
TVB千禧经典1080p,https://o11.163189.xyz/stream/live/tvbc/
翡翠 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=huali
黄金翡翠 TVOD,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
J2 TVOD,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
广东珠江 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
美亚电影粤 TVOD,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
凤凰卫视 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
香港卫视 TVOD,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
重温经典 TVOD,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
prima TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=aod
翡翠台4K TVOD,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
TVB翡翠台v2,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
TVB星河v2,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
TVB亚洲武侠v2,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
TVB娱乐新闻台v2,http://v2hcdn.jdshipin.com/enew/enew.stream/chunklist_w103.m3u8
TVB无线新闻台v2,http://v2hcdn.jdshipin.com/news/news.stream/chunklist_w105.m3u8
TVB无线直播v2,http://v2h.jdshipin.com/liveshow/liveshow.stream/chunklist_w10.m3u8
星河频道,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
TVB功夫台,https://lb-mvtv-live.v2h-cdn.com/redirect/asia_action1/1asia_action.stream?type=m3u8
美亚C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
澳門Macau,https://live5.tdm.com.mo/ch3/ch3.live/playlist.m3u8
澳視澳門,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳門葡文,https://live5.tdm.com.mo/ch2/ch2.live/playlist.m3u8
澳門資訊,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳門體育,https://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
澳門綜藝,https://live5.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8
tvod翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
tvod翡翠台2,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
tvod翡翠台3,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
tvod翡翠台4,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
tvod翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
tvodTVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
tvodTVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
tvodTVB Plus2,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
tvodVIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
tvodVIUTV2,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
tvodHOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
tvodHOY TV2,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
tvod凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
tvod凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
tvod凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
tvod凤凰资讯2,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
tvod凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
tvod凤凰香港2,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
tvod美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
tvod重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
tvod广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
tvod广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
tvod澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
tvod澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台4k,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32



Stream多音轨,#genre#
Astro AEC(多音轨字幕),https://o11.163189.xyz/stream/live/aec/
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
TVB星河(多音轨字幕),https://o11.163189.xyz/stream/live/tvbxh/
翡翠台字幕,http://mytv.cdn.loc.cc/o12.php?id=fct
华丽翡翠台(多音轨字幕),https://o11.163189.xyz/stream/live/hlt/
华丽翡翠台(新加坡),https://o11.163189.xyz/stream/live/jade/
Astro AOD(多音轨字幕),https://o11.163189.xyz/stream/live/aod/
Astro QJ(多音轨字幕),https://o11.163189.xyz/stream/live/qj/
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
明珠台字幕,http://mytv.cdn.loc.cc/o12.php?id=mzt
翡翠台4K(多音轨字幕),https://o11.163189.xyz/stream/tvb/fct4k/
TVB PLUS(多音轨字幕),https://o11.163189.xyz/stream/tvb/tvbp/
翡翠台(多音轨字幕),https://o11.163189.xyz/stream/tvb/fct/
TVB PLUS(多音轨字幕),https://o11.163189.xyz/stream/tvb/tvbp/
明珠台(多音轨字幕),https://o11.163189.xyz/stream/tvb/mzt/
华丽翡翠台(多音轨字幕),https://o11.163189.xyz/stream/live/hlt/
华丽翡翠台(新加坡),https://o11.163189.xyz/stream/live/jade/
Astro AOD(多音轨字幕),https://o11.163189.xyz/stream/live/aod/
Astro AEC(多音轨字幕),https://o11.163189.xyz/stream/live/aec/
Astro QJ(多音轨字幕),https://o11.163189.xyz/stream/live/qj/
TVB星河(多音轨字幕),https://o11.163189.xyz/stream/live/tvbxh/
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
天映频道1,https://o11.163189.xyz/stream/live/typd/
天映经典1,https://o11.163189.xyz/stream/live/ccm/
TVB星河国语,http://cdn10.163189.xyz/163189/xinghe
天映频道,http://cdn10.163189.xyz/163189/typd
天映经典,http://cdn10.163189.xyz/163189/ccm
翡翠台4K(多音轨字幕),https://o11.163189.xyz/stream/tvb/fct4k/



Smt频道,#genre#
Smt八度空间,http://php.jdshipin.com:8880/smt.php?id=TV8
Smt星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
Smt翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
Smt华丽台,http://php.jdshipin.com:8880/smt.php?id=Wlt
Smt Viu,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
大湾区卫视,https://hc9lby9bzw8zcar.wcetv.com/hls/gdtv.m3u8
8度空间,http://cdn6.163189.xyz/163189/8tv



风云,#genre#
华丽台,http://iptv.4666888.xyz/iptv2A.php?id=28
Mytv 1台,http://iptv.4666888.xyz/iptv2A.php?id=22
Mytv 2台,http://iptv.4666888.xyz/iptv2A.php?id=32
Mytv 3台,http://iptv.4666888.xyz/iptv2A.php?id=24
TVB DRAMA,http://iptv.4666888.xyz/iptv2A.php?id=33
翡翠台,http://iptv.4666888.xyz/iptv2A.php?id=34
无线J1,http://iptv.4666888.xyz/iptv2A.php?id=26
无线B1,http://iptv.4666888.xyz/iptv2A.php?id=25
明珠台,http://iptv.4666888.xyz/iptv2A.php?id=29
娱乐新闻台,http://iptv.4666888.xyz/iptv2A.php?id=36
八度空间,http://iptv.4666888.xyz/iptv2A.php?id=52
爱奇艺,http://iptv.4666888.xyz/iptv2A.php?id=21
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
HOY78,http://iptv.4666888.xyz/iptv2A.php?id=31
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
鳳凰中文台,http://iptv.4666888.xyz/iptv2A.php?id=27
澳視澳門,http://iptv.4666888.xyz/iptv2A.php?id=41
CCTV1综合,http://iptv.4666888.xyz/iptv2A.php?id=7
CCTV2财经,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV3综艺,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV4中文国际,http://iptv.4666888.xyz/iptv2A.php?id=10
CCTV13新闻,http://iptv.4666888.xyz/iptv2A.php?id=11
CCTV14少儿,http://iptv.4666888.xyz/iptv2A.php?id=12
广东卫视,http://iptv.4666888.xyz/iptv2A.php?id=18
广东珠江,http://iptv.4666888.xyz/iptv2A.php?id=19
广东体育,http://iptv.4666888.xyz/iptv2A.php?id=20
湖南卫视,http://iptv.4666888.xyz/iptv2A.php?id=13
浙江卫视,http://iptv.4666888.xyz/iptv2A.php?id=14
江苏卫视,http://iptv.4666888.xyz/iptv2A.php?id=15
山西卫视,http://iptv.4666888.xyz/iptv2A.php?id=16
青海卫视,http://iptv.4666888.xyz/iptv2A.php?id=17
美亚电影(台),http://iptv.4666888.xyz/iptv2A.php?id=30
靖天电影,http://iptv.4666888.xyz/iptv2A.php?id=56
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
華藝中文,http://iptv.4666888.xyz/iptv2A.php?id=37
靖洋戏剧,http://iptv.4666888.xyz/iptv2A.php?id=42
邵氏武侠,http://iptv.4666888.xyz/iptv2A.php?id=40
邵氏电影,http://iptv.4666888.xyz/iptv2A.php?id=39
東森电影,http://iptv.4666888.xyz/iptv2A.php?id=48
龍華电影,http://iptv.4666888.xyz/iptv2A.php?id=45
民視綜藝,http://iptv.4666888.xyz/iptv2A.php?id=46
東森洋片,http://iptv.4666888.xyz/iptv2A.php?id=45
爱尔达综合,http://iptv.4666888.xyz/iptv2A.php?id=49
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
台视综合,http://iptv.4666888.xyz/iptv2A.php?id=51
民视影剧,http://iptv.4666888.xyz/iptv2A.php?id=53
中视经典,http://iptv.4666888.xyz/iptv2A.php?id=54




极速,#genre#
凤凰卫视中文台,http://t.061899.xyz/tl/js/js.php?id=fhwszwt
凤凰卫视资讯台,http://t.061899.xyz/tl/js/js.php?id=fhwszxt
凤凰卫视香港台,http://t.061899.xyz/tl/js/js.php?id=fhwsxgt
TVB翡翠台,http://t.061899.xyz/tl/js/js.php?id=tvbfct
TVB无线新闻台,http://t.061899.xyz/tl/js/js.php?id=tvbwxxwt
TVB Plus,http://t.061899.xyz/tl/js/js.php?id=tvbplus
無綫新聞台,http://tl.061833.xyz/tl/null-11
中國電影頻道,http://tl.061833.xyz/tl/null-6
亞洲劇台,http://tl.061833.xyz/tl/null-13
千禧經典台,http://tl.061833.xyz/tl/null-3
天映经典,http://tl.061833.xyz/tl/null-1
戲曲台,http://tl.061833.xyz/tl/null-15
