马港频道,#genre#
Astro AEC(多音轨字幕),https://o11.163189.xyz/stream/live/aec/
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
TVB星河(多音轨字幕),https://o11.163189.xyz/stream/live/tvbxh/
翡翠台字幕,http://mytv.cdn.loc.cc/o12.php?id=fct
华丽翡翠台(多音轨字幕),https://o11.163189.xyz/stream/live/hlt/
华丽翡翠台(新加坡),https://o11.163189.xyz/stream/live/jade/
Astro AOD(多音轨字幕),https://o11.163189.xyz/stream/live/aod/
Astro QJ(多音轨字幕),https://o11.163189.xyz/stream/live/qj/
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
明珠台字幕,http://mytv.cdn.loc.cc/o12.php?id=mzt
翡翠台4K(多音轨字幕),https://o11.163189.xyz/stream/tvb/fct4k/
TVB PLUS(多音轨字幕),https://o11.163189.xyz/stream/tvb/tvbp/
翡翠台(多音轨字幕),https://o11.163189.xyz/stream/tvb/fct/
TVB PLUS(多音轨字幕),https://o11.163189.xyz/stream/tvb/tvbp/
明珠台(多音轨字幕),https://o11.163189.xyz/stream/tvb/mzt/
华丽翡翠台(多音轨字幕),https://o11.163189.xyz/stream/live/hlt/
华丽翡翠台(新加坡),https://o11.163189.xyz/stream/live/jade/
Astro AOD(多音轨字幕),https://o11.163189.xyz/stream/live/aod/
Astro AEC(多音轨字幕),https://o11.163189.xyz/stream/live/aec/
Astro QJ(多音轨字幕),https://o11.163189.xyz/stream/live/qj/
TVB星河(多音轨字幕),https://o11.163189.xyz/stream/live/tvbxh/
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
天映频道1,https://o11.163189.xyz/stream/live/typd/
天映经典1,https://o11.163189.xyz/stream/live/ccm/
TVB星河国语,http://cdn10.163189.xyz/163189/xinghe
天映频道,http://cdn10.163189.xyz/163189/typd
天映经典,http://cdn10.163189.xyz/163189/ccm
翡翠台4K(多音轨字幕),https://o11.163189.xyz/stream/tvb/fct4k/



大湾区卫视,#genre#
大湾区卫视,https://hc9lby9bzw8zcar.wcetv.com/hls/gdtv.m3u8
大灣區fun,https://t.freetv.fun/live/da-wan-qu-wei-shi-2.m3u8
南方衛視fun,https://t.freetv.fun/live/da-wan-qu-wei-shi-4.m3u8
大湾区mg,http://1.94.31.214/php/mg.php?id=608917627
8度空间,http://cdn6.163189.xyz/163189/8tv



TVB港台,#genre#
TVB翡翠劇集台,https://amg01868-amg01868c5-tvbanywhere-us-4493.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvbdrama-tvbanywhereus/playlist.m3u8
TVB1,https://amg01868-amg01868c4-tvbanywhere-us-4492.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvb1-tvbanywhereus/playlist.m3u8
TVB無綫新聞台,https://amg01868-amg01868c2-tvbanywhere-us-4490.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvbnews-tvbanywhereus/playlist.m3u8
TVB越南台,https://amg01868-amg01868c3-tvbanywhere-us-4491.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvbvietnam-tvbanywhereus/playlist.m3u8




MY(rtm),#genre#
八度空间,https://mifntechnology.github.io/siaranMy/channels/8tv/index.m3u8
TV1,https://mifntechnology.github.io/siaranMy/channels/Tv1/index.m3u8
TV2,https://mifntechnology.github.io/siaranMy/channels/Tv2/index.m3u8
TV3,https://mifntechnology.github.io/siaranMy/channels/Tv3/index.m3u8
Okey Tv,https://mifntechnology.github.io/siaranMy/channels/TvOkey/index.m3u8
TV6,https://mifntechnology.github.io/siaranMy/channels/Tv6/index.m3u8
DidikTv KPM,https://mifntechnology.github.io/siaranMy/channels/DidikTvKPM/index.m3u8
8TV,https://mifntechnology.github.io/siaranMy/channels/8tv/index.m3u8
TV9,https://mifntechnology.github.io/siaranMy/channels/Tv9/index.m3u8
BERITA RTM,https://mifntechnology.github.io/siaranMy/channels/BeritaRTM/index.m3u8
SUKAN RTM,https://mifntechnology.github.io/siaranMy/channels/SukanRTM/index.m3u8
TV Ikim,https://mifntechnology.github.io/siaranMy/channels/TvIkim/index.m3u8
Astro Awani,https://mifntechnology.github.io/siaranMy/channels/AstroAwani/index.m3u8




SmartPHP,#genre#
八度空间台,http://php.jdshipin.com/smt.php?id=TV8
AEC,http://php.jdshipin.com/smt.php?id=AEC
千禧经典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB星河台,http://php.jdshipin.com/smt.php?id=Xinhe
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
华丽台,http://php.jdshipin.com/smt.php?id=Tvbjade
天映频道台,http://php.jdshipin.com/smt.php?id=Celestial
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
全佳台,http://php.jdshipin.com/smt.php?id=Quanjia
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
天映经典台,http://php.jdshipin.com/smt.php?id=Celestial2
无线新闻台,http://php.jdshipin.com/smt.php?id=inews_twn
娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
RIA,http://php.jdshipin.com/smt.php?id=Aodhd
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
华丽翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
无线新闻台,http://php.jdshipin.com/smt.php?id=inews_twn
TVB星河,http://php.jdshipin.com/smt.php?id=Xinhe
千禧经典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
八度空间,http://php.jdshipin.com/smt.php?id=TV8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台4k,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
TVB plus备3,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32



Smart321,#genre#
AEC,http://smt.1678520.xyz/smt3.2.1.php?id=AEC
千禧经典台,http://smt.1678520.xyz/smt3.2.1.php?id=Tvbclassic
翡翠台,http://smt.1678520.xyz/smt3.2.1.php?id=Tvbjade
AOD,http://smt.1678520.xyz/smt3.2.1.php?id=Aodhd
欢喜台,http://smt.1678520.xyz/smt3.2.1.php?id=Huahee
全佳台,http://smt.1678520.xyz/smt3.2.1.php?id=Quanjia
爱奇艺,http://smt.1678520.xyz/smt3.2.1.php?id=Qiyi
Tvbentertainment,http://smt.1678520.xyz/smt3.2.1.php?id=Tvbentertainment
龙华电影,http://cdn8.163189.xyz/163189/lhdy
龙华经典,http://cdn8.163189.xyz/163189/lhjd
龙华卡通,http://cdn8.163189.xyz/163189/lhkt
龙华偶像,http://cdn8.163189.xyz/163189/lhox
龙华日韩,http://cdn8.163189.xyz/163189/lhrh
龙华戏剧,http://cdn8.163189.xyz/163189/lhxj
龙华洋片,http://cdn8.veryfast.filegear-sg.me/163189/lhyp
翡翠台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=jade_twn
翡翠台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=jade_xue
无线新闻台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=inews_twn
明珠台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=pearl_twn
TVB PLUS_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=j2_twn
ViuTV_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=viu1_twn
ViuTVSix_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=viusix_twn
HOY资讯台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=hoycaijing_twn
TVB星河_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Xinhe
华丽翡翠台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Tvbjade
千禧经典台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Tvbclassic
TVB娱乐新闻台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Tvbentertainment
天映频道_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Celestial
天映经典_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Celestial2
爱奇艺_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Qiyi
八度空间_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=TV8
Astro欢喜台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Huahee
Astro AOD_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Aodhd
Astro AEC_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=AEC
Astro QJ_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Quanjia
凤凰中文台,http://php.jdshipin.com/PLTV/iptv.php?id=fhzw
凤凰资讯台,http://php.jdshipin.com/PLTV/iptv.php?id=fhzx
凤凰香港台,http://php.jdshipin.com/PLTV/iptv.php?id=fhhk
翡翠台,http://hls.168.us.kg/u/81/master.m3u8
TVB Plus,http://hls.168.us.kg/u/82/master.m3u8
無綫新聞台,http://hls.168.us.kg/u/83/master.m3u8
明珠台,http://hls.168.us.kg/u/84/master.m3u8
HOY 國際財經台,http://hls.168.us.kg/u/76/master.m3u8
HOY TV,http://hls.168.us.kg/u/77/master.m3u8
HOY 資訊台,http://hls.168.us.kg/u/78/master.m3u8
ViuTVsix,http://hls.168.us.kg/u/96/master.m3u8
ViuTV,http://hls.168.us.kg/u/99/master.m3u8
Now直播台,http://hls.168.us.kg/u/331/master.m3u8
Now新聞台,http://hls.168.us.kg/u/332/master.m3u8
Now財經台,http://hls.168.us.kg/u/331/master.m3u8
NowSports,http://hls.168.us.kg/u/630/master.m3u8
VIUTV全运-2,http://hls.168.us.kg/u/962/master.m3u8
港台電視 31,http://hls.168.us.kg/u/31/master.m3u8




Smt频道,#genre#
Smt八度空间,http://php.jdshipin.com:8880/smt.php?id=TV8
Smt星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
Smt翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
