你好再见,#genre#
你好再见 第1集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_t3ftazf0/v/11/pv/1/ev/16/flavorId/1_sybs54lm/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第2集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_ju6wk2xk/v/11/pv/1/ev/16/flavorId/1_5l45pwpz/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第3集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_sf4ihrwj/v/11/pv/1/ev/16/flavorId/1_32i2q1vv/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第4集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_ewawil71/v/11/pv/1/ev/16/flavorId/1_lkxwqq9p/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第5集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_8mst9awq/v/11/pv/1/ev/16/flavorId/1_vg88bqog/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第6集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_lvo4o5x7/v/11/pv/1/ev/16/flavorId/1_xqbczz44/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第7集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_0j8o5naa/v/11/pv/1/ev/16/flavorId/1_dyi02na1/name/a.mp4/index.m3u8/index-v1-a1.m3u8



开门见山,#genre#
开门见山 第1集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_wadj5zls/v/1/pv/1/ev/9/flavorId/1_x3c2gdyi/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第2集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_kl5grej9/v/1/pv/1/ev/9/flavorId/1_11s7ragq/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第3集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_m8ejjejo/v/1/pv/1/ev/9/flavorId/1_tqftjf8j/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第4集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_vji5kjc7/v/1/pv/1/ev/9/flavorId/1_elod42l4/name/a.mp4/index.m3u8/index-v1-a1.m3u8


inside the police,#genre#
inside the police 第1集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_i54op30k/v/21/pv/1/ev/23/flavorId/1_y9z3ebbx/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第2集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_ygdvf2ro/v/11/pv/1/ev/16/flavorId/1_5o9rwzhf/name/a.mp4/index.m3u8/index-v1-a1.m3u8


命运使者,#genre#
命运使者 第1集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_uej7iyep/v/21/pv/1/ev/23/flavorId/1_6877g9f0/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第2集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_dnyf1l9l/v/11/pv/1/ev/16/flavorId/1_7ajepcs7/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第3集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_fn0ele03/v/11/pv/1/ev/16/flavorId/1_xhrhtxe9/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第4集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_hat9ufwy/v/11/pv/1/ev/16/flavorId/1_g069uqty/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第5集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_kw5ovaoz/v/11/pv/1/ev/16/flavorId/1_a8j9av3m/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第6集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_z0yple3n/v/11/pv/1/ev/16/flavorId/1_sk5jla0d/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第7集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_t1mobm1a/v/11/pv/1/ev/16/flavorId/1_ucwu3thd/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第8集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_i91sdksh/v/11/pv/1/ev/16/flavorId/1_71f7xzuy/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第9集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_tk8j1bzt/v/11/pv/1/ev/16/flavorId/1_ll6z4d0v/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第10集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_nof95tv2/v/11/pv/1/ev/16/flavorId/1_ov1heu3n/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第11集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_rf9sgs0p/v/11/pv/1/ev/16/flavorId/1_002l3qf5/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第12集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_qbcwxqe9/v/11/pv/1/ev/16/flavorId/1_5mqca7bv/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第13集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_ui7000bn/v/11/pv/1/ev/16/flavorId/1_5npypbua/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第14集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_xmzeibsz/v/11/pv/1/ev/16/flavorId/1_0dhu9oa6/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第15集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_srwytmjp/v/11/pv/1/ev/16/flavorId/1_clhmxd9q/name/a.mp4/index.m3u8/index-v1-a1.m3u8



开门见餐,#genre#
开门见餐 第1集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/0_sdmg4aum/v/2/pv/1/ev/17/flavorId/0_hp5iq6rk/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第2集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/0_pzadhstp/v/2/pv/1/ev/17/flavorId/0_tdunougd/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第3集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/0_pu04mijq/v/2/pv/1/ev/17/flavorId/0_3oqkgrrd/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第4集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/0_qoh6c09s/v/2/pv/1/ev/17/flavorId/0_euzqewm4/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第5集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/0_qqoto17z/v/2/pv/1/ev/17/flavorId/0_63tv4f4s/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第6集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/0_sontl7vv/v/12/pv/1/ev/26/flavorId/0_qu2vg7y6/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第7集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/0_mxitukfn/v/2/pv/1/ev/17/flavorId/0_5kf0eve1/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第8集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/0_7h9w5eas/v/12/pv/1/ev/26/flavorId/0_d1wc2k3s/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第9集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/0_f0lytk33/v/2/pv/1/ev/24/flavorId/0_a34hbmt3/name/a.mp4/index.m3u8/index-v1-a1.m3u8
第10集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/0_8nef3yhf/v/11/pv/1/ev/26/flavorId/0_3u2jzgc6/name/a.mp4/index.m3u8/index-v1-a1.m3u8




Provocative,#genre#
Provocative 第1集,https://k-toggle.akamaized.net/fhls/p/2082311/sp/208231100/serveFlavor/entryId/1_xzcwoejp/v/11/pv/1/ev/23/flavorId/1_yzv98feu/name/a.mp4/index.m3u8/index-v1-a1.m3u8
